序号,时间/s,转速/rpm,扭矩/N·m,油门/%,电流/A,电压/V,电量/%,温度/℃
1,1.0,2000,20,0.2,20,20,0.2,20
2,1.1,6000,60,0.6,60,60,0.6,60
3,1.2,2000,20,0.2,20,20,0.2,20
4,1.3,6000,60,0.6,60,60,0.6,60
5,1.4,2000,20,0.2,20,20,0.2,20
6,1.5,6000,60,0.6,60,60,0.6,60
7,1.6,2000,20,0.2,20,20,0.2,20
8,1.7,6000,60,0.6,60,60,0.6,60
9,1.8,2000,20,0.2,20,20,0.2,20
10,1.9,6000,60,0.6,60,60,0.6,60
11,2.0,2000,20,0.2,20,20,0.2,20
12,2.1,6000,60,0.6,60,60,0.6,60
13,2.2,2000,20,0.2,20,20,0.2,20
14,2.3,6000,60,0.6,60,60,0.6,60
15,2.4,2000,20,0.2,20,20,0.2,20
16,2.5,6000,60,0.6,60,60,0.6,60
17,2.6,2000,20,0.2,20,20,0.2,20
18,2.7,6000,60,0.6,60,60,0.6,60
19,2.8,2000,20,0.2,20,20,0.2,20
20,2.9,6000,60,0.6,60,60,0.6,60
21,3.0,2000,20,0.2,20,20,0.2,20
22,3.1,6000,60,0.6,60,60,0.6,60
23,3.2,2000,20,0.2,20,20,0.2,20
24,3.3,6000,60,0.6,60,60,0.6,60
25,3.4,2000,20,0.2,20,20,0.2,20
26,3.5,6000,60,0.6,60,60,0.6,60
27,3.6,2000,20,0.2,20,20,0.2,20
28,3.7,6000,60,0.6,60,60,0.6,60
29,3.8,2000,20,0.2,20,20,0.2,20
30,3.9,6000,60,0.6,60,60,0.6,60
31,4.0,2000,20,0.2,20,20,0.2,20
32,4.1,6000,60,0.6,60,60,0.6,60
33,4.2,2000,20,0.2,20,20,0.2,20
34,4.3,6000,60,0.6,60,60,0.6,60
35,4.4,2000,20,0.2,20,20,0.2,20
36,4.5,6000,60,0.6,60,60,0.6,60
37,4.6,2000,20,0.2,20,20,0.2,20
38,4.7,6000,60,0.6,60,60,0.6,60
39,4.8,2000,20,0.2,20,20,0.2,20
40,4.9,6000,60,0.6,60,60,0.6,60
41,5.0,2000,20,0.2,20,20,0.2,20
42,5.1,6000,60,0.6,60,60,0.6,60
43,5.2,2000,20,0.2,20,20,0.2,20
44,5.3,6000,60,0.6,60,60,0.6,60
45,5.4,2000,20,0.2,20,20,0.2,20
46,5.5,6000,60,0.6,60,60,0.6,60
47,5.6,2000,20,0.2,20,20,0.2,20
48,5.7,6000,60,0.6,60,60,0.6,60
49,5.8,2000,20,0.2,20,20,0.2,20
50,5.9,6000,60,0.6,60,60,0.6,60
51,6.0,2000,20,0.2,20,20,0.2,20
52,6.1,6000,60,0.6,60,60,0.6,60
53,6.2,2000,20,0.2,20,20,0.2,20
54,6.3,6000,60,0.6,60,60,0.6,60
55,6.4,2000,20,0.2,20,20,0.2,20
56,6.5,6000,60,0.6,60,60,0.6,60
57,6.6,2000,20,0.2,200,20,0.2,20
58,6.7,6000,60,0.6,60,60,0.6,60
59,6.8,2000,20,0.2,200,20,0.2,20
60,6.9,6000,60,0.6,60,60,0.6,60
61,7.0,2000,20,0.2,200,20,0.2,20
62,7.1,6000,60,0.6,60,60,0.6,60
63,7.2,2000,20,0.2,200,20,0.2,20
64,7.3,6000,60,0.6,60,60,0.6,60
65,7.4,2000,20,0.2,200,20,0.2,20
66,7.5,6000,60,0.6,60,60,0.6,60
67,7.6,2000,20,0.2,200,20,0.2,20
68,7.7,6000,60,0.6,60,60,0.6,60
69,7.8,2000,20,0.2,200,20,0.2,20
70,7.9,6000,60,0.6,60,60,0.6,60
71,8.0,2000,20,0.2,200,20,0.2,20
72,8.1,6000,60,0.6,60,60,0.6,60
73,8.2,2000,20,0.2,200,20,0.2,20
74,8.3,6000,60,0.6,60,60,0.6,60
75,8.4,2000,20,0.2,200,20,0.2,20
76,8.5,6000,60,0.6,60,60,0.6,60
77,8.6,2000,20,0.2,200,20,0.2,20
78,8.7,6000,60,0.6,60,60,0.6,60
79,8.8,2000,20,0.2,200,20,0.2,20
80,8.9,6000,60,0.6,60,60,0.6,60
81,9.0,2000,20,0.2,200,20,0.2,20
82,9.1,6000,60,0.6,60,60,0.6,60
83,9.2,2000,20,0.2,200,20,0.2,20
84,9.3,6000,60,0.6,60,60,0.6,60
85,9.4,2000,20,0.2,200,20,0.2,20
86,9.5,6000,60,0.6,60,60,0.6,60
87,9.6,2000,20,0.2,200,20,0.2,20
88,9.7,6000,60,0.6,60,60,0.6,60
89,9.8,2000,20,0.2,200,20,0.2,20
90,9.9,6000,60,0.6,60,60,0.6,60
91,10.0,2000,20,0.2,200,20,0.2,20
92,10.1,6000,60,0.6,60,60,0.6,60
93,10.2,2000,20,0.2,200,20,0.2,20
94,10.3,6000,60,0.6,0,60,0.6,60
95,10.4,2000,20,0.2,200,20,0.2,20
96,10.5,6000,60,0.6,0,60,0.6,60
97,10.6,2000,20,0.2,200,20,0.2,20
98,10.7,6000,60,0.6,40,60,0.6,60
99,10.8,2000,20,0.2,200,20,0.2,20
100,10.9,6000,60,0.6,40,60,0.6,60
101,11.0,2000,20,0.2,200,20,0.2,20
102,11.1,6000,60,0.6,40,60,0.6,60
103,11.2,2000,20,0.2,200,20,0.2,20
104,11.3,6000,60,0.6,400,60,0.6,60
105,11.4,2000,20,0.2,200,20,0.2,20
106,11.5,6000,60,0.6,400,60,0.6,60
107,11.6,2000,20,0.2,200,20,0.2,20
108,11.7,6000,60,0.6,400,60,0.6,60
109,11.8,2000,20,0.2,200,20,0.2,20
110,11.9,6000,60,0.6,400,60,0.6,60
111,12.0,2000,20,0.2,200,20,0.2,20
112,12.1,6000,60,0.6,400,60,0.6,60
113,12.2,2000,20,0.2,200,20,0.2,20
114,12.3,6000,60,0.6,400,60,0.6,60
115,12.4,2000,20,0.2,200,20,0.2,20
116,12.5,6000,60,0.6,400,60,0.6,60
117,12.6,2000,20,0.2,200,20,0.2,20
118,12.7,6000,60,0.6,400,60,0.6,60
119,12.8,2000,20,0.2,200,20,0.2,20
